Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 3,1123,13,31,5186
Class 4,94,1,1,6257
Class 5,129,4,8,6212
Class 6,94,1,2,6256
Class 7,843,23,45,5442
Class 8,112,4,7,6230
Class 9,459,3,8,5883
Class 10,684,19,36,5614

Epoch:38
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1225,18,32,5078
Class 2,523,7,13,5810
Class 3,1123,14,31,5185
Class 4,93,0,2,6258
Class 5,133,2,4,6214
Class 6,92,2,4,6255
Class 7,848,18,40,5447
Class 8,116,3,3,6231
Class 9,455,6,12,5880
Class 10,699,10,21,5623

Epoch:39
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1216,25,41,5071
Class 2,505,15,31,5802
Class 3,1116,20,38,5179
Class 4,84,3,11,6255
Class 5,127,5,10,6211
Class 6,89,3,7,6254
Class 7,833,22,55,5443
Class 8,110,4,9,6230
Class 9,446,10,21,5876
Class 10,679,20,41,5613

Epoch:40
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1221,25,36,5071
Class 2,516,12,20,5805
Class 3,1125,14,29,5185
Class 4,92,2,3,6256
Class 5,133,0,4,6216
Class 6,93,0,3,6257
Class 7,858,20,30,5445
Class 8,109,4,10,6230
Class 9,458,3,9,5883
Class 10,691,11,29,5622

Epoch:41
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1220,22,37,5074
Class 2,522,7,14,5810
Class 3,1123,14,31,5185
Class 4,89,4,6,6254
Class 5,134,0,3,6216
Class 6,94,0,2,6257
Class 7,856,15,32,5450
Class 8,110,4,9,6230
Class 9,456,6,11,5880
Class 10,703,9,17,5624

Epoch:42
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1222,21,35,5075
Class 2,518,12,18,5805
Class 3,1130,8,24,5191
Class 4,92,1,3,6257
Class 5,133,3,4,6213
Class 6,94,1,2,6256
Class 7,844,30,44,5435
Class 8,111,5,8,6229
Class 9,455,9,12,5877
Class 10,688,11,32,5622

Epoch:43
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1219,16,38,5080
Class 2,514,11,22,5806
Class 3,1130,12,24,5187
Class 4,88,4,7,6254
Class 5,130,3,7,6213
Class 6,90,5,6,6252
Class 7,848,20,40,5445
Class 8,110,7,9,6227
Class 9,455,4,12,5882
Class 10,688,14,32,5619

Epoch:44
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1231,15,26,5081
Class 2,513,13,23,5804
Class 3,1131,14,23,5185
Class 4,93,2,2,6256
Class 5,133,0,4,6216
Class 6,94,1,2,6256
Class 7,851,17,37,5448
Class 8,116,3,3,6231
Class 9,452,8,15,5878
Class 10,695,15,25,5618

Epoch:45
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1235,13,22,5083
Class 2,530,5,6,5812
Class 3,1138,10,16,5189
Class 4,90,1,5,6257
Class 5,131,2,6,6214
Class 6,90,2,6,6255
Class 7,853,17,35,5448
Class 8,114,2,5,6232
Class 9,450,12,17,5874
Class 10,700,9,20,5624

Epoch:46
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1215,19,42,5077
Class 2,522,7,14,5810
Class 3,1114,18,40,5181
Class 4,90,2,5,6256
Class 5,127,7,10,6209
Class 6,91,4,5,6253
Class 7,841,28,47,5437
Class 8,110,3,9,6231
Class 9,451,7,16,5879
Class 10,707,10,13,5623

Epoch:47
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1242,9,15,5087
Class 2,515,15,21,5802
Class 3,1126,15,28,5184
Class 4,92,1,3,6257
Class 5,134,0,3,6216
Class 6,90,2,6,6255
Class 7,850,19,38,5446
Class 8,109,3,10,6231
Class 9,457,8,10,5878
Class 10,684,18,36,5615

Epoch:48
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1228,18,29,5078
Class 2,520,11,16,5806
Class 3,1133,11,21,5188
Class 4,94,1,1,6257
Class 5,131,3,6,6213
Class 6,91,3,5,6254
Class 7,855,22,33,5443
Class 8,113,2,6,6232
Class 9,457,4,10,5882
Class 10,698,13,22,5620

Epoch:49
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1217,21,40,5075
Class 2,519,6,17,5811
Class 3,1117,22,37,5177
Class 4,84,5,11,6253
Class 5,129,2,8,6214
Class 6,93,2,3,6255
Class 7,838,31,50,5434
Class 8,101,11,18,6223
Class 9,451,4,16,5882
Class 10,699,13,21,5620

Epoch:50
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1220,18,37,5078
Class 2,516,13,20,5804
Class 3,1134,8,20,5191
Class 4,93,1,2,6257
Class 5,131,3,6,6213
Class 6,92,2,4,6255
Class 7,855,20,33,5445
Class 8,114,3,5,6231
Class 9,451,7,16,5879
Class 10,693,16,27,5617

Epoch:51
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1232,16,25,5080
Class 2,523,4,13,5813
Class 3,1138,8,16,5191
Class 4,92,3,3,6255
Class 5,134,1,3,6215
Class 6,94,0,2,6257
Class 7,858,18,30,5447
Class 8,113,4,6,6230
Class 9,454,6,13,5880
Class 10,698,11,22,5622

